,SMB,HML,UMD
236,0.04320674,0.00760184,0.03916488
237,0.01822574,-0.04176324,0.04347947
238,0.02790986,-0.04059832,0.06469922
239,0.00037147,0.03674263,-0.01092599
240,-0.05437952,0.11519734,-0.1063232
241,-0.00505359,0.12287354,-0.10165718
242,0.03022049,0.00298948,0.00774869
243,0.03780433,0.03916188,-0.05589112
244,0.02586574,0.03819804,0.13279682
245,-0.03687062,0.1047535,0.09962123
246,-0.00103189,0.01649718,-0.02805002
247,0.04301921,0.0027151,0.07827115
248,-0.00561129,0.05436692,0.09768777
249,-0.03399317,0.03334584,0.00744433
250,0.05031554,0.04018429,0.07492208
251,-0.10956103,0.07436312,0.08094919
252,0.0578379,0.01609105,-0.06684656
253,0.05913965,0.04917253,-0.09342294
254,0.01156102,-0.00669446,0.02871438
255,-0.00211076,-0.04974636,0.11057887
256,-0.01867002,-0.0257839,0.09456075
257,0.01105282,0.02505855,0.00916763
258,0.05192905,0.00996785,0.06437925
259,0.01572975,0.03194981,0.05708126
260,-0.00865404,-0.00755327,0.0611067
261,-0.02920707,0.05916464,0.03151902
262,-0.00991308,0.03528872,0.06384053
263,0.00487316,-0.03283896,0.09766731
264,-0.06264102,0.04946824,0.00894487
265,0.0182853,0.05398571,-0.11093252
266,-0.0051369,-0.00827031,0.07016455
267,0.02124135,0.03311391,-0.02652606
268,-0.0270806,0.02015279,0.04510128
269,-0.00962705,-0.01987859,0.00509626
270,0.02202715,-0.00233135,-0.10905775
271,0.059717,0.05267738,-0.06321604
272,0.05676265,-0.02815942,-0.02665817
273,0.04312775,0.02860242,-0.01043988
274,0.04069359,0.00611287,-0.03858301
275,-0.00145477,0.00914619,0.01015822
276,0.00016118,0.00097455,0.02858586
277,-0.02129919,0.03128932,-0.00807782
278,-0.01555565,0.02046219,-0.00691716
279,0.07273249,0.01209014,0.05441837
280,0.00337877,0.00979295,0.02571296
281,-0.00071135,-0.00166124,-0.0273345
282,-0.02390237,0.00322747,-0.04725223
283,-0.02213785,-0.00103844,-0.01217819
284,0.0332148,-0.0119498,0.02439754
285,-0.01728823,0.02326812,0.00248692
286,-0.01153879,0.02161333,1.112e-05
287,0.00240278,0.01720664,0.00816988
288,-0.00061047,0.02618929,-0.00585224
289,0.01136038,0.02649592,0.01681673
290,0.02328559,0.00608676,-0.00546572
291,0.02973733,0.01308971,-0.00463956
292,-0.01168404,-0.01614807,0.01132871
293,-0.00251033,0.01283155,-0.01490372
294,-0.03291819,-0.01820207,0.00133771
295,-0.01094369,0.01056728,0.01738748
296,0.01269048,0.0011983,0.0218024
297,-0.00143623,0.00010317,-0.00079841
298,0.00987087,0.00422921,0.01415034
299,-0.01589987,-0.03027287,0.04695552
300,-0.01330211,0.00705849,0.00320224
301,0.05844373,-0.03394238,0.0494408
302,0.00507809,-0.01241629,0.0164
303,0.03010259,-0.01663434,0.04918086
304,0.02469727,0.00405994,0.01087544
305,-0.01405826,0.00364311,0.02541699
306,-0.01203978,-0.02481107,0.03264883
307,0.00107348,0.00127272,-0.02754815
308,-0.01109696,0.00815572,7.571e-05
309,-0.02107989,0.02440571,-0.00725556
310,0.01822398,-0.00908739,-0.00462152
311,0.02504817,0.03692307,-0.01147877
312,0.00333703,0.03052215,0.02169525
313,0.02322007,0.01755539,0.02741801
314,0.03875625,0.00592952,0.02890674
315,0.00325855,-0.01130722,-0.02330108
316,-0.00082797,-0.02140807,-0.00619353
317,0.00100316,-0.00128549,0.01103632
318,-0.00192292,-0.00125513,0.00262817
319,-0.0170829,0.01425865,0.00205568
320,-0.05250195,0.00518683,-0.04747173
321,0.02630497,-0.02035005,0.01983981
322,-0.02314968,-0.00515105,-0.00488103
323,-0.07888955,-0.00314401,0.06433161
324,0.00938874,0.00317915,0.0311867
325,-0.070871,-0.0274818,0.05240233
326,-0.03279028,0.01005328,0.03271342
327,0.00743653,0.00542734,-0.00978215
328,0.04200614,-0.01172902,0.07593839
329,0.00335608,-0.01694188,0.01809305
330,-0.04940917,0.00983295,0.06871806
331,-0.01005241,-0.02934438,0.04477178
332,-0.02487664,-0.02773796,0.13513311
333,0.01675973,-0.06965532,0.00147268
334,-0.00654898,-0.00152275,-0.09546905
335,-0.00913765,-0.03737999,-0.02157296
336,-0.11476283,-0.07014741,0.08793762
337,-0.06291687,0.00035519,0.04623821
338,-0.0418123,0.00567662,0.02901619
339,0.03747751,-0.06836674,0.04463889
340,0.02557139,0.0101124,-0.06834045
341,0.0059823,0.01835174,-0.15646179
342,0.156074,0.07629846,-0.25028301
343,0.00865862,-0.01578997,-0.03929167
344,0.01145456,-0.03071845,0.02305879
345,0.00213945,0.02591618,-0.0262638
346,0.0512082,0.09005717,-0.04643381
347,-0.00460253,0.00317228,-0.03229072
348,-0.00596214,-0.02730201,0.02817635
349,-0.06302818,-0.02592254,0.03177527
350,-0.02614585,0.00213026,-0.00441667
351,0.05016524,-0.01860431,0.00459189
352,-0.03651418,0.00252939,0.02301087
353,-0.0215276,0.01524126,0.06432032
354,0.0555079,0.01695321,-0.00799572
355,-0.01608422,-0.02544223,0.00188276
356,0.02654983,-0.02660468,0.04083112
357,-0.0088617,0.00279676,0.04419018
